Name,Template,Reference
collection,font/collection,[RFC8081]
otf,font/otf,OpenType 字体
sfnt,font/sfnt,[RFC8081]
ttf,font/ttf,TrueType 字体
woff,font/woff,Web 开放字体格式（WOFF）
woff2,font/woff2,Web 开放字体格式（WOFF）
